Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2020-01-13,Byju,E-Tech,E-learning,Bengalore,Tiger Global Management,Private,1660.0
2020-01-09,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.8016702
2020-01-02,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengalore,Sequoia Capital India,Series B,152.378538
2020-01-02,Https://Www.Wealthbucket.In/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre Series A,24.9
2020-01-13,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed,14.94
2020-01-10,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.7
2019-12-12,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private,1245.0
2019-12-06,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.8
2019-12-03,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,581.0
2019-12-13,Dhruva Space,Aerospace,Satellite Communication,Bengalore,"Mumbai Angels, Ravikanth Reddy",Seed,415.0
2019-12-17,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,166.0
2019-12-16,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.6
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengalore,Vertex Growth Fund,Series E,249.0
2019-12-14,Incred Finance,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt,48.97
2019-12-11,Trell,Video,Experience Discovery Platform,Bengalore,Ruizheng Investment,Seed,16.6
2019-12-20,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed,415.0
2019-11-13,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1917.3
2019-11-14,Freshworks,Software,Business and customer engagement tools,USA,"Sequoia, CapitalG, Accel",Series H,1245.0
2019-11-13,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.0338
2019-11-17,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.45
2019-11-18,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
2019-11-15,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.6
2019-11-20,Ninjacart,B2B Marketing,Agritech,Bengalore,Trifecta Capital Advisors,Debt,215.8
2019-11-12,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt,144.5134995
2019-11-20,Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed,10.79
2019-11-11,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1120.5
2019-11-19,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.49
2019-11-18,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed,1826.0
2019-11-15,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,131.14
2019-11-19,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2348.9
2019-10-04,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8300.0
2019-10-02,Dunzo,Customer Service,Delivery Service,Bengalore,Lightbox,Series D,373.5
2019-10-21,Udaan,B2B,Business development,Bengalore,"Altimeter Capital, DST Global",Series D,4855.5
2019-09-05,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
2019-09-04,Fpl Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.35
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.39
2019-09-04,Digital F5,Advertising & Marketing Community Networking platform,Digital marketing firm,Mumbai,TIW Private Equity,Private,49.8
2019-09-04,3Rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre Series A,41.5
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,149.4
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengalore,Endiya Partners,Seed,8.3
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,83.0
2019-09-03,Goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3735.0
2019-08-01,Vyapar App,Accounting,Mobile-based Accounting Software,Bengalore,"India Quotient, Axilor Ventures",Series A,41.5
2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,166.0
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.5
2019-08-01,Mypetrolpump,Retail,Fuel Delivery,Bengalore,Undisclosed,Seed,13.28
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1162.0
2019-08-12,Pinelabs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,316.064
2019-08-13,Meesho,E-Commerce,Social Commerce,Bengalore,Naspers,Series D,1037.5
2019-08-13,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoni,Series D,91.3
2019-08-23,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,423.3
2019-08-23,Zendrive,Automotive,Road Safety Analytics,USA,XL Innovate,Series B,307.1
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,4.15
2019-08-22,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,913.0
2019-08-21,Indwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture,124.5
2019-08-23,Hungerbox,Food and Beverage,B2B Foodtech,Bengalore,One97 Communications Ltd.,Series C,54.697
2019-08-19,Admitkard,EdTech,University Admissions,Noida,Growth DNA,Seed,8.3
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0
2019-08-27,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,581.0
2019-07-02,Rapido,Transportation,Bike Taxi,Bengalore,Westbridge Capital,Series B,32370.0
2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,157.7
2019-07-01,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre Series A,20.75
2019-07-03,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.2035
2019-07-01,Ola,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.3
2019-07-04,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,316.064
2019-07-10,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed,4.15
2019-07-11,Byju,EdTech,Education,Bengalore,Qatar Investment Authority,Private,1245.0
2019-07-10,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,498.0
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.8
2019-07-10,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.725
2019-07-09,Healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.75
2019-07-08,House Of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.3
2019-06-05,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel,2.6527215
2019-06-04,Nobroker,E-Commerce,Real Estate,Bengalore,General Atlantic,Series C,423.3
2019-06-03,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt,83.0
2019-06-04,Avail Finance,Finance,FinTech,Bengalore,Matrix Partners,Series A,74.7
2019-06-04,Bharatpe,Finance,FinTech,New Delhi,Insight Partners,Series B,622.5
2019-06-03,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre Series A,215.8
2019-06-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengalore,Blume Ventures and RTP Global,Pre Series A,20.75
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,215.8
2019-06-10,Pratilipi,Digital Media,E-Books,Bengalore,Qiming Venture Partners,Series B,125.40885
2019-06-10,Bolo App,Digital Media,Video Platform,Bengalore,Nexus Venture Partners,Seed,3.57066
2019-06-06,Okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,128.65
2019-06-08,Biz2Credit,FinTech,Online Lending Platform,USA,WestBridge Capital,Series B,431.6
2019-06-04,Vogo Automotive,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt,29.7472
2019-05-06,Leegality,Services,Digital Documentation,Mumbai/Bengalore,Mumbai Angels,Series A,28.22
2019-05-06,Ola,Transport,Cabs,Bengalore,Tata Sons,Series A,0.0
2019-05-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengalore,C4D Partners,Venture - Series Unknown,7.20938
2019-05-01,Styledotme,E-Commerce,Fashion and Shopping,New Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
2019-05-02,Blackbuck,Transport,Logistics,Bengalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1245.0
2019-05-28,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,415.0
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengalore,Sachin Bansal,Series C,423.3
2019-05-30,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed,1162.0
2019-05-31,Glowroad,E-Commerce,Retail,Bengalore,"Korea Investment Partners, Vertex Ventures",Series B,95.45
2019-04-16,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,46.48
2019-04-12,Kuvera,Finance,Wealth Management,Bengalore,Eight Roads,Series A,373.5
2019-04-10,Medlife,E-Commerce,Online Medicine,Bengalore,Prasid Uno Family Trust,Private,141.1
2019-04-13,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private,3.5745195
2019-04-12,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.8084125
2019-04-11,Azah,Health and Wellness,Organic wellness,Gurgaon,Unnamed angel investors,Seed,1.66
2019-04-10,Setu,Fintech,Banking,Bengalore,Lightspeed India Partners,Seed,29.05
2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt,52.462806
2019-04-10,Craftsvilla,E-Commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.2810085
2019-04-11,Unacademy,Edtech,E-learning,Bengalore,Kalyan Krishnamurthy,Angel / Seed,2.5481
2019-04-19,Clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,215.8
2019-04-19,My Healthcare,E-Commerce,Software Solutions,Bengalore and Gurgaon,Sixth Sense Ventures,Series A,24.9
2019-04-17,Krazybee,E-Commerce,Lending Platform,Bengalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,119.0386
2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture,41.5
2019-02-01,Increff,Technology,Supply-chain technology solutions,Bengalore,"021 Capita, Binny Bansal",Series A,24.9
2019-02-08,Fleetx,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
2019-02-13,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1875.8
2018-02-14,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.98
2019-01-03,Oyo,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,830.0
2019-01-04,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,913.0
2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,USA,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,182.6
2018-12-04,Samunnati,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt,41.5
2018-12-01,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed,5.81
2018-12-02,Urbanclap,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,415.0
2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre Series A,6.64
2018-12-04,Career Anna,Online Education,"Video-based certification, trainings",Gurgaon,Individual Investors,Pre Series A,4.7476
2018-12-06,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed,1.1869
2018-12-06,Shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,16.6
2018-11-01,Buildsupply,"SaaS, Ecommerce","Real Estate, ERP",Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,29.05
2018-11-03,Godesi,Food and Beverage,Regional Flavours,Bengalore,Lead Angels Network,Angel / Seed,1.1536585
2018-11-06,Veritas Finance,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,230.7317
2018-11-08,Meesho,Ecommerce,Social Commerce,Bengalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,415.0
2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengalore,Undisclosed,Series A,4.15
2018-11-12,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.3
2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,Bengalore,Tiger Global,Series A,8.3
2018-11-13,Milk Basket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.79
2018-11-14,Driveu,Transport,On-Demand Drivers,Bengalore,Stevens Creek Ventures,Mezzanine,8.3
2018-11-19,Cleansecar,Services,Car Wash,Bengalore,Venture Catalysts,Angel / Seed,4.15
2018-11-20,Automation Anywhere,Automation,Robotics,USA,SoftBank Vision Fund,Series B,2490.0
2018-11-21,Healthifyme,Health and Wellness,Wellness Coach,Bengalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,49.8
2018-11-22,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed,2.3074
2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity,257.3
2018-11-23,Skillbox,Social Network,Art,Gurgaon,Individual investors,Seed,0.0
2018-11-24,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.22
2018-11-25,Engineer.Ai,Software,AI Platform,USA,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,244.85
2018-11-25,Incred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private,348.6
2018-10-01,Roposo,Social Media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,14.11
2018-10-02,Northmist,Fashion,Mens Wear,New Delhi,Prashant Jaiswal,Angel / Seed,0.0
2018-10-04,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Angel / Seed,91.3
2018-10-05,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private,68.06
2018-10-11,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.9
2018-10-12,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre Series A,33.2
2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengalore,Sequoia Capital India,Private,121.844
2018-09-01,Letstransport,Logistics Tech,Book Trucks Online,Bengalore,Fosun International,Series C,99.6
2018-09-03,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private,290.5
2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bengalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private,1867.5
2018-09-04,Daily Hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengalore,Falcon Edge,Private,53.037
2018-09-04,3Hcare,Healthcare,Healthcare Service Provider,New Delhi,Undisclosed,Angel / Seed,8.3
2018-09-05,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private,0.0
2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private,1304.76
2018-09-06,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private,0.0
2018-09-10,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private,830.0
2018-09-11,Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurgaon,Stellaris Ventures & Others,Private,33.2
2018-09-11,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private,265.6
2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt,45.65
2018-09-12,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private,41.5
2018-08-01,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private,249.0
2018-08-01,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Angel / Seed,3.32
2018-08-02,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Angel / Seed,0.0
2018-08-03,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private,58.1
2018-08-07,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combinator,Private,0.996
2018-08-07,My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undisclosed,Angel / Seed,8.3
2018-08-07,Shopx,Consumer Internet,Assisted E-commerce Platform,Bengalore,Fung Strategic Holdings,Private,290.5
2018-08-08,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private,83.0
2018-08-08,Hansel.Io,Consumer Internet,Real-time Mobile App Management,Bengalore,Vertex Ventures,Angel / Seed,33.2
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private,101.26
2018-08-09,Phonepe,Consumer Internet,UPI Payments App,Bengalore,Flipkart,Private,547.8
2018-08-09,Quizizz,Ed-Tech,e-learning Platform,Bengalore,"Nexus Venture Partners, Prime Venture Partners and Others",Angel / Seed,24.9
2018-08-13,Happy Emi,Fin-Tech,Consumer Financing Platform,Bengalore,AJ Ventures and Jain International Trade Organisation (JITO),Angel / Seed,8.3
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Angel / Seed,33.2
2018-08-16,Observe Ai,Technology,AI Based Solutions Platform,Bengalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private,66.4
2018-08-17,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemdabad,Undisclosed,Angel / Seed,0.9529313
2018-08-20,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurgaon,Denlow Investment Trust and Beenext,Private,48.555
2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bengalore,Undisclosed,Angel / Seed,8.3
2018-08-22,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt,39.84
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengalore,CDC Group plc\\xc2\\xa0,Private,49.8
2018-08-26,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private,118.441
2018-08-26,Zestmoney,Consumer Internet,Online Lending Platform,Bengalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private,111.22
2018-08-27,Shubhloans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private,34.86
2018-08-28,Myupchar,Healthcare,Local Language Health Content App,New Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private,41.5
2018-08-30,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengalore,Accel (formerly known as Accel Partners),Private,24.9
2018-07-01,True North,Finance,Private Equity Firm,Mumbai,Undisclosed,Private,4980.0
2018-07-02,Leena Ai,Technology,HR Virtual Agent For Employees,Gurgaon,Y Combinator,Angel / Seed,0.0
2018-07-04,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurgaon,Ajay Relan and Vinay Mittal,Angel / Seed,8.3
2018-07-05,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private,33.2
2018-07-06,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private,51.875
2018-07-09,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Info Edge (India) Ltd and Temasek,Private,229.91
2018-07-09,Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengalore,Info Edge (India) Ltd,Angel / Seed,3.652
2018-07-10,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Angel / Seed,9.13
2018-07-10,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Angel / Seed,3.6271
2018-07-10,Inicu,Healthcare,Med-tech Platform Providing Care For Newborns,New Delhi,Venture Catalysts,Angel / Seed,0.0
2018-07-10,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengalore,ResponsAbility,Private,41.5
2018-07-11,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private,41.5
2018-07-12,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private,20.75
2018-07-12,19Th Mile,IT,Artificial intelligence-based sales acceleration software platform,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Angel / Seed,1.494
2018-07-13,5Th Vital,Healthcare,Home diagnostics services provider,Bengalore,Brand Capital and Others,Angel / Seed,4.15
2018-07-17,Mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Angel / Seed,1.4525
2018-07-17,Ofbusiness,Finance,Online Lending Platform For SME,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private,240.7
2018-07-18,Cars24,Consumer Internet,Online Used Car Marketplace,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Private,412.51
2018-07-19,The Ken,Consumer Internet,Subscription-Only News Website,Bengalore,Omidyar Network & Others,Angel / Seed,12.45
2018-07-20,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private,830.0
2018-07-21,Housing.Comman,Consumer Internet,Property Discovery Platform,Bengalore,Undisclosed,Angel / Seed,12.45
2018-07-23,Paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private,149.4
2018-07-23,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bengalore,Undisclosed,Angel / Seed,0.0
2018-07-23,Vtion,Technology,Media Analytics,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Angel / Seed,2.324
2018-07-24,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Angel / Seed,3.6188
2018-07-24,Kidovators,Ed-Tech,Skill Learning Platform,Bengalore,Gray Matters,Angel / Seed,1.494
2018-07-25,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private,373.5
2018-07-25,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private,141.1
2018-07-25,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengalore,"BeeNext , WEH Ventures and Sprout Ventures",Angel / Seed,10.375
2018-07-26,Iqlect,Technology,Data Analytics Firm,Bengalore,Ventureast and Exfinity,Angel / Seed,20.75
2018-07-26,Entropik,IT,Software-As-A-Service Platform,Bengalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Angel / Seed,9.13
2018-07-26,Bitla Software,Technology,Travel-Focused Tech Startup,Bengalore,MakeMyTrip,Private,0.0
2018-07-30,Thecapitalnet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private,4.15
2018-07-30,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private,91.3
